end,Revenues,NetIncomeLoss,Assets
2014-09-27,,8467000000,231839000000.0
2014-09-27,,8467000000,231839000000.0
2014-09-27,,8467000000,231839000000.0
2014-09-27,,8467000000,231839000000.0
2014-09-27,,8467000000,231839000000.0
2014-09-27,,8467000000,231839000000.0
2014-09-27,,8467000000,231839000000.0
2014-12-27,,18024000000,261894000000.0
2014-12-27,,18024000000,261894000000.0
2014-12-27,,18024000000,261894000000.0
2014-12-27,,18024000000,261894000000.0
2015-03-28,,31593000000,261194000000.0
2015-03-28,,31593000000,261194000000.0
2015-03-28,,13569000000,261194000000.0
2015-03-28,,13569000000,261194000000.0
2015-03-28,,13569000000,261194000000.0
2015-03-28,,13569000000,261194000000.0
2015-06-27,,42270000000,273151000000.0
2015-06-27,,42270000000,273151000000.0
2015-06-27,,10677000000,273151000000.0
2015-06-27,,10677000000,273151000000.0
2015-06-27,,10677000000,273151000000.0
2015-06-27,,10677000000,273151000000.0
2015-09-26,,53394000000,290479000000.0
2015-09-26,,53394000000,290479000000.0
2015-09-26,,53394000000,290479000000.0
2015-09-26,,53394000000,290479000000.0
2015-09-26,,53394000000,290345000000.0
2015-09-26,,53394000000,290479000000.0
2015-09-26,,53394000000,290479000000.0
2015-09-26,,53394000000,290479000000.0
2015-09-26,,53394000000,290479000000.0
2015-09-26,,53394000000,290345000000.0
2015-09-26,,53394000000,290479000000.0
2015-09-26,,53394000000,290479000000.0
2015-09-26,,53394000000,290479000000.0
2015-09-26,,53394000000,290479000000.0
2015-09-26,,53394000000,290345000000.0
2015-09-26,,11124000000,290479000000.0
2015-09-26,,11124000000,290479000000.0
2015-09-26,,11124000000,290479000000.0
2015-09-26,,11124000000,290479000000.0
2015-09-26,,11124000000,290345000000.0
2015-09-26,,11124000000,290479000000.0
2015-09-26,,11124000000,290479000000.0
2015-09-26,,11124000000,290479000000.0
2015-09-26,,11124000000,290479000000.0
2015-09-26,,11124000000,290345000000.0
2015-12-26,,18361000000,293284000000.0
2015-12-26,,18361000000,293284000000.0
2015-12-26,,18361000000,293284000000.0
2015-12-26,,18361000000,293284000000.0
2016-03-26,,28877000000,305277000000.0
2016-03-26,,28877000000,305277000000.0
2016-03-26,,10516000000,305277000000.0
2016-03-26,,10516000000,305277000000.0
2016-03-26,,10516000000,305277000000.0
2016-03-26,,10516000000,305277000000.0
2016-06-25,,36673000000,305602000000.0
2016-06-25,,36673000000,305602000000.0
2016-06-25,,7796000000,305602000000.0
2016-06-25,,7796000000,305602000000.0
2016-06-25,,7796000000,305602000000.0
2016-06-25,,7796000000,305602000000.0
2016-09-24,215639000000.0,45687000000,321686000000.0
2016-09-24,215639000000.0,45687000000,321686000000.0
2016-09-24,215639000000.0,45687000000,321686000000.0
2016-09-24,215639000000.0,45687000000,321686000000.0
2016-09-24,215639000000.0,45687000000,321686000000.0
2016-09-24,215639000000.0,45687000000,321686000000.0
2016-09-24,215639000000.0,45687000000,321686000000.0
2016-09-24,215639000000.0,45687000000,321686000000.0
2016-09-24,215639000000.0,45687000000,321686000000.0
2016-09-24,215639000000.0,45687000000,321686000000.0
2016-09-24,215639000000.0,45687000000,321686000000.0
2016-09-24,215639000000.0,45687000000,321686000000.0
2016-09-24,215639000000.0,45687000000,321686000000.0
2016-09-24,215639000000.0,45687000000,321686000000.0
2016-09-24,215639000000.0,45687000000,321686000000.0
2016-09-24,215639000000.0,9014000000,321686000000.0
2016-09-24,215639000000.0,9014000000,321686000000.0
2016-09-24,215639000000.0,9014000000,321686000000.0
2016-09-24,215639000000.0,9014000000,321686000000.0
2016-09-24,215639000000.0,9014000000,321686000000.0
2016-09-24,215639000000.0,9014000000,321686000000.0
2016-09-24,215639000000.0,9014000000,321686000000.0
2016-09-24,215639000000.0,9014000000,321686000000.0
2016-09-24,215639000000.0,9014000000,321686000000.0
2016-09-24,215639000000.0,9014000000,321686000000.0
2016-12-31,78351000000.0,17891000000,331141000000.0
2016-12-31,78351000000.0,17891000000,331141000000.0
2016-12-31,78351000000.0,17891000000,331141000000.0
2016-12-31,78351000000.0,17891000000,331141000000.0
2017-04-01,52896000000.0,28920000000,334532000000.0
2017-04-01,52896000000.0,28920000000,334532000000.0
2017-04-01,52896000000.0,11029000000,334532000000.0
2017-04-01,52896000000.0,11029000000,334532000000.0
2017-04-01,52896000000.0,11029000000,334532000000.0
2017-04-01,52896000000.0,11029000000,334532000000.0
2017-07-01,45408000000.0,37637000000,345173000000.0
2017-07-01,45408000000.0,37637000000,345173000000.0
2017-07-01,45408000000.0,8717000000,345173000000.0
2017-07-01,45408000000.0,8717000000,345173000000.0
2017-07-01,45408000000.0,8717000000,345173000000.0
2017-07-01,45408000000.0,8717000000,345173000000.0
2017-09-30,229234000000.0,48351000000,375319000000.0
2017-09-30,229234000000.0,48351000000,375319000000.0
2017-09-30,229234000000.0,48351000000,375319000000.0
2017-09-30,229234000000.0,48351000000,375319000000.0
